Rainfall,WindSpeed3pm,Humidity3pm,Pressure3pm,Temp3pm
0.6,24,22,1007.1,21.8
0,22,25,1007.8,24.3
0,26,30,1008.7,23.2
0,9,16,1012.8,26.5
1,20,33,1006,29.7
0.2,24,23,1005.4,28.9
0,24,19,1008.2,24.6
0,17,19,1010.1,25.5
0,28,9,1003.6,30.2
1.4,11,27,1005.7,28.2
0,6,22,1008.7,28.8
2.2,13,91,1004.2,17
15.6,28,93,993,15.8
3.6,20,43,1001.8,19.8
0,9,82,1010.4,18.1
16.8,20,65,1002.2,21.5
10.6,17,32,1009.7,21
0,6,26,1017.1,23.2
0,9,28,1014.8,27.3
0,22,28,1008.1,31.6
0,20,24,1005.7,30.8
0,13,23,1008.2,29
0,19,17,1010.1,31.2
0,13,19,1007.6,33
0,26,28,1003.6,31.2
0,30,15,1001.7,32.1
0,30,22,1004.2,26.1
1.2,22,70,1003.4,18.2
0.8,17,28,1005.1,22.7
0,31,26,1003.2,25.7
0,11,22,1013.1,22.1
0,7,22,1014.8,26.5
0,17,12,1010.3,33.9
0,26,9,1009.2,34.4
0,26,8,1006.7,36.8
0,30,12,1002.7,38.4
0,24,15,1010.9,27.6
0,9,16,1013.7,26.6
0,11,24,1008.1,29.3
0,17,31,1006.8,30
0,15,16,1012.1,33.2
0,17,19,1010.9,35.7
0,17,8,1006.9,41.5
0,28,28,1009.2,27.1
0,31,20,1012.7,25.5
0,11,16,1017.4,25.8
0,15,17,1016.2,30.5
0,15,10,1010.6,34.4
0,20,21,1004.8,37.7
0.8,17,17,1005.9,36.1
0.6,48,39,997.8,33.1
6.4,28,28,1003.9,33
0,28,21,1007.6,29.7
0,13,10,1014.6,32.1
0,7,12,1014.6,36.5
0,17,25,1014.1,36.2
0,13,15,1011.6,39.2
0,11,13,1011.8,40.1
0,11,11,1010.2,41.2
0,4,11,1010.5,42
0,9,9,1008.7,41.9
0.2,7,21,1007.4,37.1
0,19,15,1002.6,39.7
0,15,8,1005,41.6
0,33,11,1003.8,43.4
0,22,19,1006.5,38.5
0.4,11,31,1007.8,29.4
0,13,30,1008.5,25.8
0,11,24,1011.1,24.9
0,15,69,1017.3,17.3
3,24,21,1019.7,27.6
0,0,18,1016.4,28.5
0,15,23,1012.8,29.2
0,11,22,1013.8,29.5
0,11,17,1013.5,27
0,13,22,1007.5,30.7
0,22,16,1004.5,32.7
0,17,39,1010.8,26.8
0,9,19,1010.4,29.8
0,15,23,1012.4,31.3
0,22,10,1009.2,33.4
0,24,14,1012.7,28.6
0,17,16,1013.4,29.3
0,2,19,1015,30.5
0,6,25,1012.6,30.8
0,13,27,1008.7,28.1
0,9,25,1011.6,29.8
0,26,35,1009,29.2
0.2,33,26,1013.1,21.9
0,33,33,1011.8,21.4
0,13,23,1012,22
0,20,22,1012.4,27
0,11,20,1014.7,28.8
0,17,28,1015.9,30.5
0,4,25,1016.2,30.8
1.2,19,23,1018,29.6
0,9,90,1018.9,18.8
5.8,13,68,1014.7,23.8
3,22,74,1008,19.7
11.6,17,41,1012,18.3
0,20,34,1011.6,20.5
0,17,34,1013.2,23.9
0,11,19,1013.9,27.2
0,7,15,1013.6,29.3
0,7,13,1013.6,32.6
0,11,17,1013.1,33.5
0,19,30,1012.7,29
0,24,25,1011.8,31.4
0,20,20,1014.4,30.7
0.4,9,78,1019.2,19.6
1.8,20,26,1017.2,29.2
0,11,30,1020.7,26.8
0,17,26,1020.6,27.7
0,6,18,1019.1,29.9
0,9,16,1019.5,29.2
0,13,25,1019.5,28.6
0,6,22,1019.4,29.5
0,11,30,1018.4,30.9
8.6,17,49,1012.9,27.4
12.6,13,33,1019.3,20.3
0,19,37,1016.5,21.2
0,19,20,1019.6,20.9
0,7,27,1023.5,21.6
0,13,30,1023.4,23.5
0,13,27,1019.6,25
0,11,42,1017.7,24.3
8.4,11,47,1020.3,24.4
6.2,6,52,1020.8,23.1
0,7,35,1018.7,25
0,15,39,1011.6,24.6
0,31,27,1009.8,18.9
0,13,30,1012.8,19.4
0,11,39,1016.8,21.6
0,17,37,1019.3,22.9
0,15,33,1019.6,23.6
0,7,29,1020,21.3
0,7,39,1020.9,20.9
0,7,33,1021.6,22.3
0,20,34,1015.7,22.6
0,4,86,1002.4,15.1
20,15,89,1000.9,14.5
21,31,62,1003.3,11.6
3.2,13,79,1013.5,9.4
4.8,20,48,1018.3,14
0,7,46,1020.9,12.1
0,7,38,1021.5,16.1
0,7,44,1023.2,16.3
0,6,49,1024,19.1
0,7,51,1025.9,18.5
0,13,44,1027.3,18.8
0,7,47,1028.1,18.4
0,7,49,1024.6,19.2
0,11,49,1023.6,18.2
0,9,36,1025.8,18.5
0,7,45,1021.8,20.2
0,7,40,1022.3,19.1
0,7,53,1022.2,17.7
0,17,49,1018.5,18
0,17,61,1015.7,14.6
0,19,59,1013.1,15.3
0,19,63,1011,15.9
1.8,24,54,1013.4,14.5
0,9,61,1019.3,14.7
0,4,34,1021.2,18.7
0,11,51,1019.9,18.9
0,9,57,1020.5,18
0,7,48,1022.3,19.1
0,19,43,1021.4,19.6
0,9,37,1019.4,21.7
0,11,43,1022.1,20.8
0,22,50,1019.7,19.5
4.2,6,74,1019.2,17.4
0.8,11,58,1019.3,15.6
0,2,48,1021.6,15.3
0,19,44,1024,15.9
0,15,44,1028.5,16.7
0,9,46,1029.9,16.8
1.2,0,75,1029.2,14
1.4,7,75,1026.2,13.4
4.8,9,97,1020.4,13
8,4,58,1017.5,16.5
0,11,57,1015.1,15.6
0.2,0,91,1011.1,10.2
14.4,17,80,1006.3,11.5
4.6,26,79,1008.7,11.4
2,13,95,1008.3,7.9
5.6,22,56,1018.4,9.7
0,6,72,1023,8.8
0,6,72,1022.2,7.9
0,15,60,1013,12.1
0,11,49,1009.3,15.5
0.4,0,63,1012.8,13.9
0,6,49,1022.2,15.4
0,2,52,1027.7,14.9
0,0,63,1028.6,14.5
0,6,56,1027.1,15.1
0,17,56,1020.6,16.7
1.6,20,71,1018.6,16.4
5.6,6,78,1018.6,13.6
0,7,70,1016.4,15.2
6,9,65,1012.7,13.7
0,13,75,1012.7,11.6
4.4,9,73,1008.1,13
0,6,81,1005.5,11.3
5.4,11,76,1006.6,12.3
3.6,15,69,1009.4,15.6
2,19,73,1001,15.3
8.4,22,68,1005.2,13.1
5,19,74,1006.8,11.4
7.8,22,62,1009.6,11.7
0,24,76,1014.9,12.6
0,15,56,1019,12
0,7,65,1020.4,11.4
0,7,46,1024.6,12.4
0,7,54,1028.1,12.4
0.2,7,54,1028.6,14.3
0,9,62,1023.8,13.4
0.6,13,63,1015.6,13.2
0.6,19,53,1007.7,15.4
1,11,73,1005.5,12.3
6.8,9,75,1005.8,10.1
1.8,0,57,1009.9,12.5
0,9,57,1014.5,12.8
0.2,6,52,1020.6,14.2
0,11,64,1019.5,11.2
0.6,11,65,1019.8,13.5
0.2,19,53,1018.4,16.3
0,17,46,1013.4,17.6
0,20,81,1006.2,10.2
9.8,17,58,1018.4,12.9
0,15,58,1025.4,11.6
0,9,61,1022.7,10.8
0,2,74,1013.7,9.6
0,9,91,1019.9,7.3
3.8,11,71,1023.1,12
2.4,9,81,1025.4,12.1
0.2,9,76,1022.7,12
5.2,22,61,1021.5,12.7
0.2,15,70,1025.3,13.3
0.8,17,65,1024.8,13.3
0.8,15,49,1022.9,13.6
0,4,53,1018.9,14
5.4,7,76,1020.2,13.6
0.4,19,58,1016.7,16.6
0.8,33,47,1015.6,13.7
4.2,6,50,1023,12.3
0,7,48,1018.5,12.1
0.2,11,60,1014.7,12.6
0.4,22,59,1008.6,15.6
4.8,13,74,1010,13
0.2,13,87,1015.3,11.1
1.2,13,61,1019.1,14.7
0.2,13,57,1016.8,17
1.6,11,70,1006.4,14.3
3.2,19,57,1019.7,12.8
0,6,58,1027.2,14.4
0,7,61,1022.5,15.2
0,13,51,1014.3,17.3
1,30,85,1001.7,10.1
6.6,13,57,1009.6,12.9
3.8,11,67,1007.1,18.2
1.2,22,52,1001,16.4
2,20,53,1008.2,11.7
3.6,30,56,1014.4,13.6
0.4,19,49,1014.6,16.2
0,11,51,1013.3,17.6
4.2,19,80,996.9,17.5
13.4,20,57,1015.2,10.7
1.4,22,72,1016.8,13.9
3,15,58,1021.7,12.5
0,9,45,1020.2,16
0,24,54,1010.8,20.3
1.4,13,58,1012.3,15.5
0,11,54,1017.9,14.9
0,20,47,1011.4,15.4
0,30,53,1002.7,16.5
0,30,59,1009,15.3
0,22,67,1011.3,13.4
NA,19,46,1018.2,18.1
0,22,39,1015.4,24
0,11,25,1012.2,23.1
0,6,29,1019.9,17.1
0,7,44,1019.1,16.7
0,9,39,1016.8,20.7
0,2,73,1011.9,14
10.2,0,54,1018.6,20.3
0,11,46,1015,19.2
0.4,20,50,1013.7,16.8
0.2,15,50,1008.2,18.3
8.4,13,55,999.2,19.2
28.8,30,54,1003.8,15.9
1.4,24,55,1011.8,17.2
0,13,57,1002.9,17.3
6,24,72,1003.9,11.1
1.6,37,72,1008.4,10.7
0,24,56,1009.9,16.8
0,11,49,1013.4,16.2
0,17,36,1013.4,20.9
0,9,61,1008.8,19.4
0,11,55,1004.9,20.6
3.2,11,75,1015.1,13
1.8,9,75,1019.4,14.8
0.2,20,47,1018.6,19.2
0,15,77,1018.3,10
3.6,15,42,1018.5,15.2
0,13,43,1023.2,15.7
0,9,39,1025.7,17.8
0,9,36,1025.7,17.3
0,17,50,1016.9,18.2
0,20,64,999.4,19
2,30,71,997.6,14.8
7,30,60,1002.7,14.1
1.4,22,84,1007.8,10.9
6.8,19,56,1016.2,14.9
0,13,46,1021.6,18.8
0,9,50,1024.7,19.3
0,6,38,1023.7,22
0,17,31,1018.4,25.8
0,15,44,1017.4,25.3
0,13,38,1018.4,25.4
0,13,26,1017.6,23.2
0,13,28,1016.2,24.8
0,13,34,1013,21.3
0,15,38,1022,20.9
0,9,43,1023.1,23.4
0,9,41,1020.9,25.8
0,20,50,1020.6,25.8
0,11,46,1019.5,28.4
0,11,38,1019,30.3
0,17,35,1017.3,32.7
0,9,47,1014.6,31.1
0,20,39,1011.9,21.9
